disc_id,name,cd_pn,case_pn,date,name,note,contributor,date_added
302,Libraries,812-0206-005,813-0206-005,1995-07-01,"ImageVision Library 2.5",,jrra,2021-05-23
314,Libraries,812-0260-001,812-0260-001,1994-03-01,"Impressario 1.2 Developer’s Kit",,jrra,2021-05-23
68,Libraries,812-0653-002,,1999-07-01,"SCSL Scientific Library 1.2","for IRIX 6.4 and 6.5",jrra,
69,Libraries,812-0653-003,,2000-07-01,"SCSL Scientific Library 1.3","for IRIX 6.4 and 6.5",jrra,
328,Linux,,"",1999-04-30,"SGI Linux .6 Test Copy",,jrra,2021-05-23
333,Linux,,"",1999-06-10,"SGI Linux 6",,jrra,2021-05-23
338,Linux,812-0934-003,"",1999-11-01,"SGI Linux Environment 1.1 Installation CD",,jrra,2021-05-23
335,Linux,812-0934-001,"",1999-06-01,"SGI Linux Environment Installation CD","BETA 1.0",jrra,2021-05-23
334,Linux,812-0933-001,"",1999-06-01,"SGI Linux Environment Source CD","BETA 1.0",jrra,2021-05-23
337,Linux,812-0934-002,"",1999-06-01,"SGI Linux Environment v1.0 Installation CD",,jrra,2021-05-23
325,Linux,812-0933-002,"",1999-06-01,"SGI Linux Environment v1.0 Source CD",,jrra,2021-05-23
326,Linux,,"",1999-09-24,"SGI Linux Environment v1.1 Installation CD Campus Alpha",,jrra,2021-05-23
339,Linux,812-1001-001,"",2000-02-01,"SGI ProPack 1.2 for Linux",,jrra,2021-05-23
331,Linux,,"",2000-03-31,"SGI ProPack 1.2 for Linux - 230 Edition BETA 1",,jrra,2021-05-23
330,Linux,,"",2000-02-09,"SGI ProPack 1.2 for Linux Feb08","SGI Confidential / for use with Linux 6.1 / workaround required to work with SuSE 6.3",jrra,2021-05-23
332,Linux,812-1035-001,"",,"SGI ProPack 1.3 for Linux - Visual Workstation Edition",,jrra,2021-05-23
329,Linux,,"",2000-05-09,"SGI ProPack 1.3 for Linux Engineering Alpha",,jrra,2021-05-23
327,Linux,,"",2000-09-29,"SGI ProPack 1.4 Sep 28a",,jrra,2021-05-23
363,Linux,812-1268-004,,2009-04-01,"SGI ProPack 6 for Linux Service Pack 3 for ia64 architecture","For Use with SUSE Linux Enterprise Server 10 SP2","chulofiasco, courtesy the library of Zerolapse",2021-08-26
364,Linux,812-1269-004,,2009-04-01,"SGI ProPack 6 for Linux Service Pack 3 for x86_64 architecture","For Use with SUSE Linux Enterprise Server 10 SP2","chulofiasco, courtesy the library of Zerolapse",2021-08-26
157,Misc,812-0101-001,,1992-08-01,"3.10 Compilers Maintenance Update",,jrra,
137,Misc,812-0924-001,,1999-05-01,"Compiler Execution Environment 7.3","for IRIX 6.5 through 6.5.4",jrra,
362,Misc,812-0924-002,,2002-11-01,"Compiler Execution Environment 7.4","requires IRIX 6.5 or later","chulofiasco, courtesy the library of Zerolapse",2021-08-26
279,Misc,812-8101-012,"",1995,"Developer Magic","Booklet calls this ""HotMix 12""",jrra,2021-05-23
313,Misc,812-0127-004,813-0127-004,1994-11-01,"Documenter’s Workbench 4.1.3",,jrra,2021-05-23
197,Misc,812-0099-003,,1993-05-01,"Impressario 1.1 Developer's Kit",,jrra,
348,Misc,812-0772-001,,1998-06-01,"MIPSpro 7.2.1 Compiler Patches June 1998","for IRIX 6.2, 6.3, 6.4 and 6.5",jrra,2021-06-11
299,Misc,812-0288-003,813-0288-003,1995-03-01,"MegaDev 3.0",,jrra,2021-05-23
136,Misc,812-0768-003,,1999-05-01,"ProDev Developers Suite",,jrra,
318,Misc,812-0298-004,813-0298-004,1995-08-01,"ProDev WorkShop 2.5.1",,jrra,2021-05-23
208,Misc,812-0768-005,,2001-12-01,"ProDev WorkShop 2.9.1","for IRIX 6.2 and later",jrra,2020-07-14
361,Misc,812-0768-006,,2002-11-01,"ProDev WorkShop 2.9.2","requires IRIX 6.5 or later","chulofiasco, courtesy the library of Zerolapse",2021-08-26
104,Misc,812-0398-001,,1995-08-01,"RapidApp 1.1",,jrra,
324,Misc,812-0379-002,813-0379-002,1995-08-01,"WorkShop Ada Extensions 1.1",,jrra,2021-05-23
288,Misc,812-0376-001,813-0376-001,1995-08-01,"WorkShop Pro MPF 2.5",,jrra,2021-05-23
283,"Misc patches",812-0412-001,813-0412-001,1995-08-01,"8505XL Patch CD",,jrra,2021-05-23
1,"Misc patches",812-1197-001,,2004-05-01,"Artifex Technology Patch","for IRIX 6.5.15 through 6.5.23",jrra,
177,"Misc patches",812-0251-002,,1993-12-01,"Indigo2 XL & Memory Parity Patch",,jrra,
171,"Misc patches",812-0245-001,,1993,"Memory Parity Patch for 4.0.5 IRIX",,jrra,
205,"Misc patches",812-0788-001,,1998-06-01,"Origin200 GIGAchannel System Disk Patch Supplement",,jrra,
183,"Misc patches",812-0355-001,813-0355-001,1995-04-01,"Patch SG0000466",,jrra,
174,"Misc patches",812-0505-001,,1996-02-01,"Patches for IRIX 5.3 for All Indigo2 IMPACT",,jrra,
304,"Misc patches",812-0589-002,813-0589-002,1996-09-01,"SCSI Patches 2.0",,jrra,2021-05-23
371,"SGI ProPack 3",812-1163-007,,2004-05-01,"SGI Advanced Linux Environment 3 Installation CD 1 of 4",,Titox,2021-09-15
372,"SGI ProPack 3",812-1164-007,,2004-05-01,"SGI Advanced Linux Environment 3 Installation CD 2 of 4",,Titox,2021-09-15
373,"SGI ProPack 3",812-1192-007,,2004-05-01,"SGI Advanced Linux Environment 3 Installation CD 3 of 4",,Titox,2021-09-15
374,"SGI ProPack 3",812-1193-007,,2004-05-01,"SGI Advanced Linux Environment 3 Installation CD 4 of 4",,Titox,2021-09-15
375,"SGI ProPack 3",812-1165-004,,2004-05-01,"SGI Advanced Linux Environment 3 Source Code CD 1 of 3",,Titox,2021-09-15
376,"SGI ProPack 3",812-1166-004,,2004-05-01,"SGI Advanced Linux Environment 3 Source Code CD 2 of 3",,Titox,2021-09-15
377,"SGI ProPack 3",812-1194-004,,2004-05-01,"SGI Advanced Linux Environment 3 Source Code CD 3 of 3",,Titox,2021-09-15
365,"SGI ProPack 3",812-1146-001,,2003-02-01,"SGI Linux Environment 7.2 Installation CD 1 of 2",,Titox,2021-09-15
366,"SGI ProPack 3",812-1147-001,,2003-02-01,"SGI Linux Environment 7.2 Installation CD 2 of 2",,Titox,2021-09-15
368,"SGI ProPack 3",812-1149-001,,2003-02-01,"SGI Linux Environment 7.2 Source Code CD 1 of 3",,Titox,2021-09-15
369,"SGI ProPack 3",812-1150-001,,2003-02-01,"SGI Linux Environment 7.2 Source Code CD 2 of 3",,Titox,2021-09-15
370,"SGI ProPack 3",812-1151-001,,2003-02-01,"SGI Linux Environment 7.2 Source Code CD 3 of 3",,Titox,2021-09-15
367,"SGI ProPack 3",812-1148-001,,2003-02-01,"SGI Linux Environment 7.2 Updates",,Titox,2021-09-15
381,"SGI ProPack 3",812-1155-009,,2004-05-01,"SGI ProPack 3 for Linux Documentation CD",,Titox,2021-09-15
380,"SGI ProPack 3",812-1191-010,,2004-05-01,"SGI ProPack 3 for Linux Open/Free Source Code CD",,Titox,2021-09-15
378,"SGI ProPack 3",812-1153-010,,2004-05-01,"SGI ProPack 3 for Linux Open/Free Source Software",,Titox,2021-09-15
379,"SGI ProPack 3",812-1154-010,,2004-05-01,"SGI ProPack 3 for Linux Proprietary Software",,Titox,2021-09-15
389,"SGI ProPack 3 Service Pack 6",812-1200-002,,2005-07-01,"QuickTransit 1.1","for Silicon Graphics Prism and SGI Altix Systems",Titox,2021-09-15
382,"SGI ProPack 3 Service Pack 6",812-1163-011,,2005-08-01,"SGI Advanced Linux Environment 3 with Altix 330 Support Installation CD 1 of 4",,Titox,2021-09-15
383,"SGI ProPack 3 Service Pack 6",812-1164-008,,2004-11-01,"SGI Advanced Linux Environment 3 with Altix 330 Support Installation CD 2 of 4",,Titox,2021-09-15
384,"SGI ProPack 3 Service Pack 6",812-1192-007,,2004-05-01,"SGI Advanced Linux Environment 3 with Altix 330 Support Installation CD 3 of 4",,Titox,2021-09-15
385,"SGI ProPack 3 Service Pack 6",812-1193-008,,2004-11-01,"SGI Advanced Linux Environment 3 with Altix 330 Support Installation CD 4 of 4",,Titox,2021-09-15
386,"SGI ProPack 3 Service Pack 6",812-1165-004,,2004-05-01,"SGI Advanced Linux Environment 3 with Altix 330 Support Source Code CD 1 of 3",,Titox,2021-09-15
387,"SGI ProPack 3 Service Pack 6",812-1166-005,,2004-11-01,"SGI Advanced Linux Environment 3 with Altix 330 Support Source Code CD 2 of 3",,Titox,2021-09-15
388,"SGI ProPack 3 Service Pack 6",812-1194-005,,2004-11-01,"SGI Advanced Linux Environment 3 with Altix 330 Support Source Code CD 3 of 3",,Titox,2021-09-15
397,"SGI ProPack 3 Service Pack 6",812-1185-002,,2004-11-01,"SGI Altix Showcase CD November 2004",,Titox,2021-09-15
396,"SGI ProPack 3 Service Pack 6",812-1155-015,,2005-07-01,"SGI ProPack 3 for Linux Service Pack 6 Documentation CD",,Titox,2021-09-15
394,"SGI ProPack 3 Service Pack 6",812-1191-017,,2005-08-01,"SGI ProPack 3 for Linux Service Pack 6 Open/Free Source Code CD 1 of 2",,Titox,2021-09-15
395,"SGI ProPack 3 Service Pack 6",812-1206-017,,2005-08-01,"SGI ProPack 3 for Linux Service Pack 6 Open/Free Source Code CD 2 of 2",,Titox,2021-09-15
390,"SGI ProPack 3 Service Pack 6",812-1153-017,,2005-08-01,"SGI ProPack 3 for Linux Service Pack 6 Open/Free Source Software CD 1 of 3",,Titox,2021-09-15
391,"SGI ProPack 3 Service Pack 6",812-1198-017,,2005-08-01,"SGI ProPack 3 for Linux Service Pack 6 Open/Free Source Software CD 2 of 3",,Titox,2021-09-15
392,"SGI ProPack 3 Service Pack 6",812-1211-017,,2005-08-01,"SGI ProPack 3 for Linux Service Pack 6 Open/Free Source Software CD 3 of 3",,Titox,2021-09-15
393,"SGI ProPack 3 Service Pack 6",812-1154-017,,2005-08-01,"SGI ProPack 3 for Linux Service Pack 6 Proprietary Software CD",,Titox,2021-09-15
310,Supportfolio,812-0290-003,"",1995-03-01,"Support Advantage 3/95 – IRIX Patches",,jrra,2021-05-23
311,Supportfolio,812-4024-003,"",1995-03-01,"Support Advantage 3/95 – Support Libraries",,jrra,2021-05-23
73,Supportfolio,812-0516-003,814-0516-003,1997-02-01,"Supportfolio 1.3 Electronic Services",,jrra,
74,Supportfolio,812-0508-004,814-0508-004,1997-02-01,"Supportfolio 1.3 Information Resources",,jrra,
75,Supportfolio,812-0638-001,,1997-02-01,"Supportfolio IRIX 5.3, 6.3, 6.4 Patches",,jrra,
76,Supportfolio,812-0638-002,,1997-04-01,"Supportfolio IRIX 5.3, 6.3, 6.4 Patches",,jrra,
77,Supportfolio,812-0603-002,,1997-02-01,"Supportfolio IRIX 6.2 Patches",,jrra,
